College IPEDS ID,College Name,Fall Term,Enrollment Type Code,Enrollment Type Description,Head Count,Full-time Equivalent (FTE) Enrollment
190600,CUNY John Jay College of Criminal Justice,Fall 2010,2,First-time Freshmen,2015,
190600,CUNY John Jay College of Criminal Justice,Fall 2010,3,Graduate,1928,1203
190600,CUNY John Jay College of Criminal Justice,Fall 2010,4,Undergraduate,13278,10483
190600,CUNY John Jay College of Criminal Justice,Fall 2010,5,Total,15206,11686
190619,CUNY Kingsborough Community College,Fall 2010,1,Transfer,1563,
190619,CUNY Kingsborough Community College,Fall 2010,2,First-time Freshmen,2933,
190619,CUNY Kingsborough Community College,Fall 2010,4,Undergraduate,18606,14366
190619,CUNY Kingsborough Community College,Fall 2010,5,Total,18606,14366
190628,CUNY LaGuardia Community College,Fall 2010,1,Transfer,1062,
190628,CUNY LaGuardia Community College,Fall 2010,2,First-time Freshmen,3205,
190628,CUNY LaGuardia Community College,Fall 2010,4,Undergraduate,17569,13829
190628,CUNY LaGuardia Community College,Fall 2010,5,Total,17569,13829
190682,CUNY Law School,Fall 2010,3,Graduate,441,533
190682,CUNY Law School,Fall 2010,5,Total,441,533
190637,CUNY Lehman College,Fall 2010,1,Transfer,1169,
190637,CUNY Lehman College,Fall 2010,2,First-time Freshmen,641,
190637,CUNY Lehman College,Fall 2010,3,Graduate,2274,1306
190637,CUNY Lehman College,Fall 2010,4,Undergraduate,9841,7051
190637,CUNY Lehman College,Fall 2010,5,Total,12115,8357
190646,CUNY Medgar Evers College,Fall 2010,1,Transfer,389,
190646,CUNY Medgar Evers College,Fall 2010,2,First-time Freshmen,1188,
190646,CUNY Medgar Evers College,Fall 2010,4,Undergraduate,6920,5279
190646,CUNY Medgar Evers College,Fall 2010,5,Total,6920,5279
190655,CUNY New York City College of Technology,Fall 2010,1,Transfer,1055,
190655,CUNY New York City College of Technology,Fall 2010,2,First-time Freshmen,2930,
190655,CUNY New York City College of Technology,Fall 2010,4,Undergraduate,15366,11218
190655,CUNY New York City College of Technology,Fall 2010,5,Total,15366,11218
190664,CUNY Queens College,Fall 2010,1,Transfer,1896,
190664,CUNY Queens College,Fall 2010,2,First-time Freshmen,1491,
190664,CUNY Queens College,Fall 2010,3,Graduate,4711,2558
190664,CUNY Queens College,Fall 2010,4,Undergraduate,16195,13081
190664,CUNY Queens College,Fall 2010,5,Total,20906,15639
190673,CUNY Queensborough Community College,Fall 2010,1,Transfer,610,
190673,CUNY Queensborough Community College,Fall 2010,2,First-time Freshmen,3209,
190673,CUNY Queensborough Community College,Fall 2010,4,Undergraduate,15316,11007
190673,CUNY Queensborough Community College,Fall 2010,5,Total,15316,11007
190576,CUNY School of Journalism,Fall 2010,3,Graduate,169,208
190576,CUNY School of Journalism,Fall 2010,5,Total,169,208
190576,CUNY School of Professional Studies,Fall 2010,1,Transfer,330,
190576,CUNY School of Professional Studies,Fall 2010,2,First-time Freshmen,18,
190576,CUNY School of Professional Studies,Fall 2010,3,Graduate,643,237
190576,CUNY School of Professional Studies,Fall 2010,4,Undergraduate,1136,553
190576,CUNY School of Professional Studies,Fall 2010,5,Total,1779,790
190691,CUNY York College,Fall 2010,1,Transfer,633,
190691,CUNY York College,Fall 2010,2,First-time Freshmen,1103,
190691,CUNY York College,Fall 2010,3,Graduate,37,15
190691,CUNY York College,Fall 2010,4,Undergraduate,7784,5589
190691,CUNY York College,Fall 2010,5,Total,7821,5604
190512,CUNY Baruch College,Fall 2009,1,Transfer,1260,
190512,CUNY Baruch College,Fall 2009,2,First-time Freshmen,1442,
190512,CUNY Baruch College,Fall 2009,3,Graduate,3863,2490
190512,CUNY Baruch College,Fall 2009,4,Undergraduate,12332,10294
190512,CUNY Baruch College,Fall 2009,5,Total,16195,12784
190521,CUNY Borough of Manhattan Community College,Fall 2009,1,Transfer,1013,
190521,CUNY Borough of Manhattan Community College,Fall 2009,2,First-time Freshmen,4301,
190521,CUNY Borough of Manhattan Community College,Fall 2009,4,Undergraduate,21424,16350
190521,CUNY Borough of Manhattan Community College,Fall 2009,5,Total,21424,16350
190530,CUNY Bronx Community College,Fall 2009,1,Transfer,975,
190530,CUNY Bronx Community College,Fall 2009,2,First-time Freshmen,2056,
190530,CUNY Bronx Community College,Fall 2009,4,Undergraduate,10420,7539
190530,CUNY Bronx Community College,Fall 2009,5,Total,10420,7539
190549,CUNY Brooklyn College,Fall 2009,1,Transfer,1759,
190549,CUNY Brooklyn College,Fall 2009,2,First-time Freshmen,977,
190549,CUNY Brooklyn College,Fall 2009,3,Graduate,4025,2289
190549,CUNY Brooklyn College,Fall 2009,4,Undergraduate,13069,10260
190549,CUNY Brooklyn College,Fall 2009,5,Total,17094,12549
190567,CUNY City College,Fall 2009,1,Transfer,1517,
190567,CUNY City College,Fall 2009,2,First-time Freshmen,1773,
190567,CUNY City College,Fall 2009,3,Graduate,3334,1787
190567,CUNY City College,Fall 2009,4,Undergraduate,12878,10082
190567,CUNY City College,Fall 2009,5,Total,16212,11869
190558,CUNY College of Staten Island,Fall 2009,1,Transfer,1489,
190558,CUNY College of Staten Island,Fall 2009,2,First-time Freshmen,2688,
190558,CUNY College of Staten Island,Fall 2009,3,Graduate,972,512
190558,CUNY College of Staten Island,Fall 2009,4,Undergraduate,12886,10136
190558,CUNY College of Staten Island,Fall 2009,5,Total,13858,10648
190576,CUNY Graduate School and University Center,Fall 2009,3,Graduate,4625,3667
190576,CUNY Graduate School and University Center,Fall 2009,5,Total,4625,3667
190585,CUNY Hostos Community College,Fall 2009,1,Transfer,620,
190585,CUNY Hostos Community College,Fall 2009,2,First-time Freshmen,1178,
190585,CUNY Hostos Community College,Fall 2009,4,Undergraduate,6187,4356
190585,CUNY Hostos Community College,Fall 2009,5,Total,6187,4356
190594,CUNY Hunter College,Fall 2009,1,Transfer,1540,
190594,CUNY Hunter College,Fall 2009,2,First-time Freshmen,2028,
190594,CUNY Hunter College,Fall 2009,3,Graduate,6284,3989
190594,CUNY Hunter College,Fall 2009,4,Undergraduate,15884,12126
190594,CUNY Hunter College,Fall 2009,5,Total,22168,16115
190600,CUNY John Jay College of Criminal Justice,Fall 2009,1,Transfer,1193,
190600,CUNY John Jay College of Criminal Justice,Fall 2009,2,First-time Freshmen,2872,
190600,CUNY John Jay College of Criminal Justice,Fall 2009,3,Graduate,1984,1229
190600,CUNY John Jay College of Criminal Justice,Fall 2009,4,Undergraduate,13346,10813
190600,CUNY John Jay College of Criminal Justice,Fall 2009,5,Total,15330,12042
190619,CUNY Kingsborough Community College,Fall 2009,1,Transfer,2129,
190619,CUNY Kingsborough Community College,Fall 2009,2,First-time Freshmen,3111,
190619,CUNY Kingsborough Community College,Fall 2009,4,Undergraduate,18204,13910
190619,CUNY Kingsborough Community College,Fall 2009,5,Total,18204,13910
190628,CUNY LaGuardia Community College,Fall 2009,1,Transfer,1473,
190628,CUNY LaGuardia Community College,Fall 2009,2,First-time Freshmen,2871,
190628,CUNY LaGuardia Community College,Fall 2009,4,Undergraduate,17028,13064
190628,CUNY LaGuardia Community College,Fall 2009,5,Total,17028,13064
190682,CUNY Law School,Fall 2009,3,Graduate,407,512
190682,CUNY Law School,Fall 2009,5,Total,407,512
190637,CUNY Lehman College,Fall 2009,1,Transfer,1255,
190637,CUNY Lehman College,Fall 2009,2,First-time Freshmen,773,
190637,CUNY Lehman College,Fall 2009,3,Graduate,2475,1345
190637,CUNY Lehman College,Fall 2009,4,Undergraduate,9720,7078
190637,CUNY Lehman College,Fall 2009,5,Total,12195,8423
190646,CUNY Medgar Evers College,Fall 2009,1,Transfer,779,
190646,CUNY Medgar Evers College,Fall 2009,2,First-time Freshmen,1378,
190646,CUNY Medgar Evers College,Fall 2009,4,Undergraduate,7080,5355
190646,CUNY Medgar Evers College,Fall 2009,5,Total,7080,5355
190655,CUNY New York City College of Technology,Fall 2009,1,Transfer,1045,
190655,CUNY New York City College of Technology,Fall 2009,2,First-time Freshmen,3251,
190655,CUNY New York City College of Technology,Fall 2009,4,Undergraduate,15399,11146
190655,CUNY New York City College of Technology,Fall 2009,5,Total,15399,11146
190664,CUNY Queens College,Fall 2009,1,Transfer,2305,
190664,CUNY Queens College,Fall 2009,2,First-time Freshmen,1712,
190664,CUNY Queens College,Fall 2009,3,Graduate,4652,2480
190664,CUNY Queens College,Fall 2009,4,Undergraduate,16059,12930
190664,CUNY Queens College,Fall 2009,5,Total,20711,15410
190673,CUNY Queensborough Community College,Fall 2009,1,Transfer,1102,
190673,CUNY Queensborough Community College,Fall 2009,2,First-time Freshmen,3705,
190673,CUNY Queensborough Community College,Fall 2009,4,Undergraduate,15507,10804
190673,CUNY Queensborough Community College,Fall 2009,5,Total,15507,10804
190576,CUNY School of Journalism,Fall 2009,3,Graduate,144,180
190576,CUNY School of Journalism,Fall 2009,5,Total,144,180
190576,CUNY School of Professional Studies,Fall 2009,1,Transfer,243,
190576,CUNY School of Professional Studies,Fall 2009,2,First-time Freshmen,80,
190576,CUNY School of Professional Studies,Fall 2009,3,Graduate,430,157
190576,CUNY School of Professional Studies,Fall 2009,4,Undergraduate,1117,488
190576,CUNY School of Professional Studies,Fall 2009,5,Total,1547,645
190691,CUNY York College,Fall 2009,1,Transfer,833,
190691,CUNY York College,Fall 2009,2,First-time Freshmen,1045,
190691,CUNY York College,Fall 2009,3,Graduate,48,22
190691,CUNY York College,Fall 2009,4,Undergraduate,7732,5539
190691,CUNY York College,Fall 2009,5,Total,7780,5561
190512,CUNY Baruch College,Fall 2008,1,Transfer,1254,
190512,CUNY Baruch College,Fall 2008,2,First-time Freshmen,1512,
190512,CUNY Baruch College,Fall 2008,3,Graduate,3590,2493
190512,CUNY Baruch College,Fall 2008,4,Undergraduate,12731,10476
190512,CUNY Baruch College,Fall 2008,5,Total,16321,12969
190521,CUNY Borough of Manhattan Community College,Fall 2008,1,Transfer,1956,
190521,CUNY Borough of Manhattan Community College,Fall 2008,2,First-time Freshmen,4949,
190521,CUNY Borough of Manhattan Community College,Fall 2008,4,Undergraduate,21858,16088
190521,CUNY Borough of Manhattan Community College,Fall 2008,5,Total,21858,16088
190530,CUNY Bronx Community College,Fall 2008,1,Transfer,694,
190530,CUNY Bronx Community College,Fall 2008,2,First-time Freshmen,1568,
190530,CUNY Bronx Community College,Fall 2008,4,Undergraduate,9117,6411
190530,CUNY Bronx Community College,Fall 2008,5,Total,9117,6411
190549,CUNY Brooklyn College,Fall 2008,1,Transfer,1699,
190549,CUNY Brooklyn College,Fall 2008,2,First-time Freshmen,1358,
190549,CUNY Brooklyn College,Fall 2008,3,Graduate,3678,2043
190549,CUNY Brooklyn College,Fall 2008,4,Undergraduate,13011,10200
190549,CUNY Brooklyn College,Fall 2008,5,Total,16689,12243
190567,CUNY City College,Fall 2008,1,Transfer,1212,
190567,CUNY City College,Fall 2008,2,First-time Freshmen,1776,
190567,CUNY City College,Fall 2008,3,Graduate,3329,1696
190567,CUNY City College,Fall 2008,4,Undergraduate,11977,9351
190567,CUNY City College,Fall 2008,5,Total,15306,11047
190558,CUNY College of Staten Island,Fall 2008,1,Transfer,1653,
190558,CUNY College of Staten Island,Fall 2008,2,First-time Freshmen,2515,
190558,CUNY College of Staten Island,Fall 2008,3,Graduate,909,450
190558,CUNY College of Staten Island,Fall 2008,4,Undergraduate,12183,9525
190558,CUNY College of Staten Island,Fall 2008,5,Total,13092,9975
190576,CUNY Graduate School and University Center,Fall 2008,3,Graduate,4620,3592
190576,CUNY Graduate School and University Center,Fall 2008,5,Total,4620,3592
190585,CUNY Hostos Community College,Fall 2008,1,Transfer,492,
190585,CUNY Hostos Community College,Fall 2008,2,First-time Freshmen,905,
190585,CUNY Hostos Community College,Fall 2008,4,Undergraduate,5532,3732
190585,CUNY Hostos Community College,Fall 2008,5,Total,5532,3732
190594,CUNY Hunter College,Fall 2008,1,Transfer,1470,
190594,CUNY Hunter College,Fall 2008,2,First-time Freshmen,2042,
190594,CUNY Hunter College,Fall 2008,3,Graduate,5560,3235
190594,CUNY Hunter College,Fall 2008,4,Undergraduate,15698,11947
190594,CUNY Hunter College,Fall 2008,5,Total,21258,15182
190600,CUNY John Jay College of Criminal Justice,Fall 2008,1,Transfer,1207,
190600,CUNY John Jay College of Criminal Justice,Fall 2008,2,First-time Freshmen,2442,
190600,CUNY John Jay College of Criminal Justice,Fall 2008,3,Graduate,1901,1156
190600,CUNY John Jay College of Criminal Justice,Fall 2008,4,Undergraduate,12943,10192
190600,CUNY John Jay College of Criminal Justice,Fall 2008,5,Total,14844,11348
190619,CUNY Kingsborough Community College,Fall 2008,1,Transfer,1558,
190619,CUNY Kingsborough Community College,Fall 2008,2,First-time Freshmen,2386,
190619,CUNY Kingsborough Community College,Fall 2008,4,Undergraduate,15739,11555
190619,CUNY Kingsborough Community College,Fall 2008,5,Total,15739,11555
190628,CUNY LaGuardia Community College,Fall 2008,1,Transfer,1416,
190628,CUNY LaGuardia Community College,Fall 2008,2,First-time Freshmen,2613,
190628,CUNY LaGuardia Community College,Fall 2008,4,Undergraduate,15540,11743
190628,CUNY LaGuardia Community College,Fall 2008,5,Total,15540,11743
190682,CUNY Law School,Fall 2008,3,Graduate,388,487
190682,CUNY Law School,Fall 2008,5,Total,388,487
190637,CUNY Lehman College,Fall 2008,1,Transfer,1209,
190637,CUNY Lehman College,Fall 2008,2,First-time Freshmen,1001,
190637,CUNY Lehman College,Fall 2008,3,Graduate,2291,1225
190637,CUNY Lehman College,Fall 2008,4,Undergraduate,9569,6970
190637,CUNY Lehman College,Fall 2008,5,Total,11860,8195
190646,CUNY Medgar Evers College,Fall 2008,1,Transfer,643,
190646,CUNY Medgar Evers College,Fall 2008,2,First-time Freshmen,1048,
190646,CUNY Medgar Evers College,Fall 2008,4,Undergraduate,6036,4318
190646,CUNY Medgar Evers College,Fall 2008,5,Total,6036,4318
190655,CUNY New York City College of Technology,Fall 2008,1,Transfer,1093,
190655,CUNY New York City College of Technology,Fall 2008,2,First-time Freshmen,3158,
190655,CUNY New York City College of Technology,Fall 2008,4,Undergraduate,14268,10316
190655,CUNY New York City College of Technology,Fall 2008,5,Total,14268,10316
190664,CUNY Queens College,Fall 2008,1,Transfer,2081,
190664,CUNY Queens College,Fall 2008,2,First-time Freshmen,1675,
190664,CUNY Queens College,Fall 2008,3,Graduate,4310,2246
190664,CUNY Queens College,Fall 2008,4,Undergraduate,15262,12042
190664,CUNY Queens College,Fall 2008,5,Total,19572,14288
190673,CUNY Queensborough Community College,Fall 2008,1,Transfer,853,
190673,CUNY Queensborough Community College,Fall 2008,2,First-time Freshmen,2849,
190673,CUNY Queensborough Community College,Fall 2008,4,Undergraduate,13752,8991
190673,CUNY Queensborough Community College,Fall 2008,5,Total,13752,8991
190576,CUNY School of Journalism,Fall 2008,3,Graduate,111,139
190576,CUNY School of Journalism,Fall 2008,5,Total,111,139
190576,CUNY School of Professional Studies,Fall 2008,1,Transfer,274,
190576,CUNY School of Professional Studies,Fall 2008,2,First-time Freshmen,18,
190576,CUNY School of Professional Studies,Fall 2008,3,Graduate,247,84
190576,CUNY School of Professional Studies,Fall 2008,4,Undergraduate,966,439
190576,CUNY School of Professional Studies,Fall 2008,5,Total,1213,523
190691,CUNY York College,Fall 2008,1,Transfer,697,
190691,CUNY York College,Fall 2008,2,First-time Freshmen,1057,
190691,CUNY York College,Fall 2008,3,Graduate,46,26
190691,CUNY York College,Fall 2008,4,Undergraduate,7111,5027
190691,CUNY York College,Fall 2008,5,Total,7157,5053
190512,CUNY Baruch College,Fall 2007,1,Transfer,1397,
190512,CUNY Baruch College,Fall 2007,2,First-time Freshmen,1479,
190512,CUNY Baruch College,Fall 2007,3,Graduate,3234,2186
190512,CUNY Baruch College,Fall 2007,4,Undergraduate,12863,10540
190512,CUNY Baruch College,Fall 2007,5,Total,16097,12726
190521,CUNY Borough of Manhattan Community College,Fall 2007,1,Transfer,1688,
190521,CUNY Borough of Manhattan Community College,Fall 2007,2,First-time Freshmen,3904,
190521,CUNY Borough of Manhattan Community College,Fall 2007,4,Undergraduate,19259,13808
190521,CUNY Borough of Manhattan Community College,Fall 2007,5,Total,19259,13808
190530,CUNY Bronx Community College,Fall 2007,1,Transfer,697,
190530,CUNY Bronx Community College,Fall 2007,2,First-time Freshmen,1697,
190530,CUNY Bronx Community College,Fall 2007,4,Undergraduate,9003,6402
190530,CUNY Bronx Community College,Fall 2007,5,Total,9003,6402
190549,CUNY Brooklyn College,Fall 2007,1,Transfer,1694,
190549,CUNY Brooklyn College,Fall 2007,2,First-time Freshmen,1322,
190549,CUNY Brooklyn College,Fall 2007,3,Graduate,3592,2023
190549,CUNY Brooklyn College,Fall 2007,4,Undergraduate,12495,9844
190549,CUNY Brooklyn College,Fall 2007,5,Total,16087,11867
190567,CUNY City College,Fall 2007,1,Transfer,1196,
190567,CUNY City College,Fall 2007,2,First-time Freshmen,1831,
190567,CUNY City College,Fall 2007,3,Graduate,3211,1627
190567,CUNY City College,Fall 2007,4,Undergraduate,11181,8651
190567,CUNY City College,Fall 2007,5,Total,14392,10278
190558,CUNY College of Staten Island,Fall 2007,1,Transfer,1175,
190558,CUNY College of Staten Island,Fall 2007,2,First-time Freshmen,2479,
190558,CUNY College of Staten Island,Fall 2007,3,Graduate,929,481
190558,CUNY College of Staten Island,Fall 2007,4,Undergraduate,11588,8993
190558,CUNY College of Staten Island,Fall 2007,5,Total,12517,9474
190576,CUNY Graduate School and University Center,Fall 2007,3,Graduate,4543,3555
190576,CUNY Graduate School and University Center,Fall 2007,5,Total,4543,3555
190585,CUNY Hostos Community College,Fall 2007,1,Transfer,522,
190585,CUNY Hostos Community College,Fall 2007,2,First-time Freshmen,813,
190585,CUNY Hostos Community College,Fall 2007,4,Undergraduate,5112,3447
190585,CUNY Hostos Community College,Fall 2007,5,Total,5112,3447
190594,CUNY Hunter College,Fall 2007,1,Transfer,1542,
190594,CUNY Hunter College,Fall 2007,2,First-time Freshmen,1906,
190594,CUNY Hunter College,Fall 2007,3,Graduate,5127,3085
190594,CUNY Hunter College,Fall 2007,4,Undergraduate,15718,11814
190594,CUNY Hunter College,Fall 2007,5,Total,20845,14899
190600,CUNY John Jay College of Criminal Justice,Fall 2007,1,Transfer,997,
190600,CUNY John Jay College of Criminal Justice,Fall 2007,2,First-time Freshmen,2813,
190600,CUNY John Jay College of Criminal Justice,Fall 2007,3,Graduate,1945,1167
190600,CUNY John Jay College of Criminal Justice,Fall 2007,4,Undergraduate,12896,10301
190600,CUNY John Jay College of Criminal Justice,Fall 2007,5,Total,14841,11468
190619,CUNY Kingsborough Community College,Fall 2007,1,Transfer,1416,
190619,CUNY Kingsborough Community College,Fall 2007,2,First-time Freshmen,2136,
190619,CUNY Kingsborough Community College,Fall 2007,4,Undergraduate,14962,10783
190619,CUNY Kingsborough Community College,Fall 2007,5,Total,14962,10783
190628,CUNY LaGuardia Community College,Fall 2007,1,Transfer,1399,
190628,CUNY LaGuardia Community College,Fall 2007,2,First-time Freshmen,2573,
190628,CUNY LaGuardia Community College,Fall 2007,4,Undergraduate,15169,11250
190628,CUNY LaGuardia Community College,Fall 2007,5,Total,15169,11250
190682,CUNY Law School,Fall 2007,3,Graduate,420,515
190682,CUNY Law School,Fall 2007,5,Total,420,515
190637,CUNY Lehman College,Fall 2007,1,Transfer,1061,
190637,CUNY Lehman College,Fall 2007,2,First-time Freshmen,886,
190637,CUNY Lehman College,Fall 2007,3,Graduate,2058,1098
190637,CUNY Lehman College,Fall 2007,4,Undergraduate,8864,6555
190637,CUNY Lehman College,Fall 2007,5,Total,10922,7653
190646,CUNY Medgar Evers College,Fall 2007,1,Transfer,561,
190646,CUNY Medgar Evers College,Fall 2007,2,First-time Freshmen,891,
190646,CUNY Medgar Evers College,Fall 2007,4,Undergraduate,5550,4042
190646,CUNY Medgar Evers College,Fall 2007,5,Total,5550,4042
190655,CUNY New York City College of Technology,Fall 2007,1,Transfer,942,
190655,CUNY New York City College of Technology,Fall 2007,2,First-time Freshmen,2844,
190655,CUNY New York City College of Technology,Fall 2007,4,Undergraduate,13502,9619
190655,CUNY New York City College of Technology,Fall 2007,5,Total,13502,9619
190664,CUNY Queens College,Fall 2007,1,Transfer,1951,
190664,CUNY Queens College,Fall 2007,2,First-time Freshmen,1778,
190664,CUNY Queens College,Fall 2007,3,Graduate,4110,2085
190664,CUNY Queens College,Fall 2007,4,Undergraduate,14618,11493
190664,CUNY Queens College,Fall 2007,5,Total,18728,13578
190673,CUNY Queensborough Community College,Fall 2007,1,Transfer,907,
190673,CUNY Queensborough Community College,Fall 2007,2,First-time Freshmen,2812,
190673,CUNY Queensborough Community College,Fall 2007,4,Undergraduate,13359,8644
190673,CUNY Queensborough Community College,Fall 2007,5,Total,13359,8644
190576,CUNY School of Journalism,Fall 2007,3,Graduate,99,122
190576,CUNY School of Journalism,Fall 2007,5,Total,99,122
190576,CUNY School of Professional Studies,Fall 2007,1,Transfer,218,
190576,CUNY School of Professional Studies,Fall 2007,2,First-time Freshmen,50,
190576,CUNY School of Professional Studies,Fall 2007,3,Graduate,132,46
190576,CUNY School of Professional Studies,Fall 2007,4,Undergraduate,694,289
190576,CUNY School of Professional Studies,Fall 2007,5,Total,826,335
190691,CUNY York College,Fall 2007,1,Transfer,694,
190691,CUNY York College,Fall 2007,2,First-time Freshmen,1017,
190691,CUNY York College,Fall 2007,3,Graduate,45,20
190691,CUNY York College,Fall 2007,4,Undergraduate,6682,4742
190691,CUNY York College,Fall 2007,5,Total,6727,4762
190512,CUNY Baruch College,Fall 2006,1,Transfer,1337,
190512,CUNY Baruch College,Fall 2006,2,First-time Freshmen,1508,
190512,CUNY Baruch College,Fall 2006,3,Graduate,2934,2097
190512,CUNY Baruch College,Fall 2006,4,Undergraduate,12796,10504
190512,CUNY Baruch College,Fall 2006,5,Total,15730,12601
190521,CUNY Borough of Manhattan Community College,Fall 2006,1,Transfer,1542,
190521,CUNY Borough of Manhattan Community College,Fall 2006,2,First-time Freshmen,3337,
190521,CUNY Borough of Manhattan Community College,Fall 2006,4,Undergraduate,18457,13029
190521,CUNY Borough of Manhattan Community College,Fall 2006,5,Total,18457,13029
190530,CUNY Bronx Community College,Fall 2006,1,Transfer,753,
190530,CUNY Bronx Community College,Fall 2006,2,First-time Freshmen,1611,
190530,CUNY Bronx Community College,Fall 2006,4,Undergraduate,8717,6300
190530,CUNY Bronx Community College,Fall 2006,5,Total,8717,6300
190549,CUNY Brooklyn College,Fall 2006,1,Transfer,1590,
190549,CUNY Brooklyn College,Fall 2006,2,First-time Freshmen,1379,
190549,CUNY Brooklyn College,Fall 2006,3,Graduate,3836,2097
190549,CUNY Brooklyn College,Fall 2006,4,Undergraduate,12111,9433
190549,CUNY Brooklyn College,Fall 2006,5,Total,15947,11530
190567,CUNY City College,Fall 2006,1,Transfer,1129,
190567,CUNY City College,Fall 2006,2,First-time Freshmen,1565,
190567,CUNY City College,Fall 2006,3,Graduate,2924,1454
190567,CUNY City College,Fall 2006,4,Undergraduate,10231,7901
190567,CUNY City College,Fall 2006,5,Total,13155,9355
190558,CUNY College of Staten Island,Fall 2006,1,Transfer,1007,
190558,CUNY College of Staten Island,Fall 2006,2,First-time Freshmen,2281,
190558,CUNY College of Staten Island,Fall 2006,3,Graduate,1050,514
190558,CUNY College of Staten Island,Fall 2006,4,Undergraduate,11263,8752
190558,CUNY College of Staten Island,Fall 2006,5,Total,12313,9266
190576,CUNY Graduate School and University Center,Fall 2006,3,Graduate,4445,3446
190576,CUNY Graduate School and University Center,Fall 2006,5,Total,4445,3446
190585,CUNY Hostos Community College,Fall 2006,1,Transfer,497,
190585,CUNY Hostos Community College,Fall 2006,2,First-time Freshmen,786,
190585,CUNY Hostos Community College,Fall 2006,4,Undergraduate,4697,3369
190585,CUNY Hostos Community College,Fall 2006,5,Total,4697,3369
190594,CUNY Hunter College,Fall 2006,1,Transfer,1616,
190594,CUNY Hunter College,Fall 2006,2,First-time Freshmen,1864,
190594,CUNY Hunter College,Fall 2006,3,Graduate,5094,3031
190594,CUNY Hunter College,Fall 2006,4,Undergraduate,15805,11615
190594,CUNY Hunter College,Fall 2006,5,Total,20899,14646
190600,CUNY John Jay College of Criminal Justice,Fall 2006,1,Transfer,1080,
190600,CUNY John Jay College of Criminal Justice,Fall 2006,2,First-time Freshmen,2783,
190600,CUNY John Jay College of Criminal Justice,Fall 2006,3,Graduate,1861,1111
190600,CUNY John Jay College of Criminal Justice,Fall 2006,4,Undergraduate,12784,10274
190600,CUNY John Jay College of Criminal Justice,Fall 2006,5,Total,14645,11385
190619,CUNY Kingsborough Community College,Fall 2006,1,Transfer,1359,
190619,CUNY Kingsborough Community College,Fall 2006,2,First-time Freshmen,1977,
190619,CUNY Kingsborough Community College,Fall 2006,4,Undergraduate,14687,10522
190619,CUNY Kingsborough Community College,Fall 2006,5,Total,14687,10522
190628,CUNY LaGuardia Community College,Fall 2006,1,Transfer,1453,
190628,CUNY LaGuardia Community College,Fall 2006,2,First-time Freshmen,2419,
190628,CUNY LaGuardia Community College,Fall 2006,4,Undergraduate,14185,10447
190628,CUNY LaGuardia Community College,Fall 2006,5,Total,14185,10447
190682,CUNY Law School,Fall 2006,3,Graduate,425,526
190682,CUNY Law School,Fall 2006,5,Total,425,526
190637,CUNY Lehman College,Fall 2006,1,Transfer,1184,
190637,CUNY Lehman College,Fall 2006,2,First-time Freshmen,932,
190637,CUNY Lehman College,Fall 2006,3,Graduate,2067,1035
190637,CUNY Lehman College,Fall 2006,4,Undergraduate,8747,6450
190637,CUNY Lehman College,Fall 2006,5,Total,10814,7485
190646,CUNY Medgar Evers College,Fall 2006,1,Transfer,631,
190646,CUNY Medgar Evers College,Fall 2006,2,First-time Freshmen,943,
190646,CUNY Medgar Evers College,Fall 2006,4,Undergraduate,5561,3947
190646,CUNY Medgar Evers College,Fall 2006,5,Total,5561,3947
190655,CUNY New York City College of Technology,Fall 2006,1,Transfer,1022,
190655,CUNY New York City College of Technology,Fall 2006,2,First-time Freshmen,2883,
190655,CUNY New York City College of Technology,Fall 2006,4,Undergraduate,13368,9583
190655,CUNY New York City College of Technology,Fall 2006,5,Total,13368,9583
190664,CUNY Queens College,Fall 2006,1,Transfer,1938,
190664,CUNY Queens College,Fall 2006,2,First-time Freshmen,1662,
190664,CUNY Queens College,Fall 2006,3,Graduate,4445,2220
190664,CUNY Queens College,Fall 2006,4,Undergraduate,13662,10653
190664,CUNY Queens College,Fall 2006,5,Total,18107,12873
190673,CUNY Queensborough Community College,Fall 2006,1,Transfer,959,
190673,CUNY Queensborough Community College,Fall 2006,2,First-time Freshmen,2615,
190673,CUNY Queensborough Community College,Fall 2006,4,Undergraduate,13150,8241
190673,CUNY Queensborough Community College,Fall 2006,5,Total,13150,8241
190576,CUNY School of Journalism,Fall 2006,3,Graduate,57,72
190576,CUNY School of Journalism,Fall 2006,5,Total,57,72
190576,CUNY School of Professional Studies,Fall 2006,1,Transfer,239,
190576,CUNY School of Professional Studies,Fall 2006,3,Graduate,112,32
190576,CUNY School of Professional Studies,Fall 2006,4,Undergraduate,255,146
190576,CUNY School of Professional Studies,Fall 2006,5,Total,367,178
190691,CUNY York College,Fall 2006,1,Transfer,590,
190691,CUNY York College,Fall 2006,2,First-time Freshmen,693,
190691,CUNY York College,Fall 2006,3,Graduate,39,30
190691,CUNY York College,Fall 2006,4,Undergraduate,6197,4385
190691,CUNY York College,Fall 2006,5,Total,6236,4415
190512,CUNY Baruch College,Fall 2005,1,Transfer,1282,
190512,CUNY Baruch College,Fall 2005,2,First-time Freshmen,1641,
190512,CUNY Baruch College,Fall 2005,3,Graduate,2912,1979
190512,CUNY Baruch College,Fall 2005,4,Undergraduate,12844,10548
190512,CUNY Baruch College,Fall 2005,5,Total,15756,12527
